                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                 1.1686,                0.67938,                 0.9541,                 0.6489,                0.41091,                0.44207,                 0.2394,                 1.3329,                0.79433,                 1.0021,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.1711,                0.67619,                0.95443,                0.66674,                0.40357,                 0.4467,                0.24151,                 1.3361,                0.79424,                 1.0012,               0.003961,               0.003961,               0.003961
                    124,                 1.1721,                0.67926,                 0.9561,                0.66574,                0.41733,                0.45046,                0.24372,                 1.3354,                0.79642,                 1.0012,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.1658,                0.67489,                0.95477,                0.65807,                0.40947,                0.44409,                0.24355,                 1.3368,                0.79498,                 1.0026,               0.003862,               0.003862,               0.003862
                    126,                 1.1572,                0.66899,                0.95519,                0.63404,                0.41784,                0.44047,                0.23956,                 1.3354,                0.79602,                 1.0025,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.1613,                0.66634,                 0.9507,                0.63883,                0.39955,                0.43439,                0.23439,                  1.339,                0.79625,                  1.003,               0.003763,               0.003763,               0.003763
                    128,                 1.1717,                0.67171,                0.95412,                0.64668,                0.40381,                0.43372,                0.23312,                 1.3408,                0.79772,                 1.0041,              0.0037135,              0.0037135,              0.0037135
                    129,                 1.1651,                0.67102,                0.95486,                0.66508,                 0.4032,                0.44253,                 0.2383,                 1.3397,                0.79662,                 1.0019,               0.003664,               0.003664,               0.003664
                    130,                 1.1622,                 0.6677,                 0.9534,                0.67214,                0.40329,                0.44611,                0.24118,                  1.339,                0.79474,                  1.002,              0.0036145,              0.0036145,              0.0036145
                    131,                   1.15,                0.65965,                0.94924,                0.64786,                0.42103,                0.44768,                0.24191,                 1.3399,                 0.7948,                 1.0029,               0.003565,               0.003565,               0.003565
                    132,                 1.1564,                0.66471,                0.95078,                0.66525,                0.42098,                0.44935,                0.24145,                 1.3367,                0.79286,                0.99953,              0.0035155,              0.0035155,              0.0035155
                    133,                  1.158,                0.66177,                0.95105,                0.66907,                0.41719,                0.44559,                0.24155,                 1.3357,                0.79351,                 0.9993,               0.003466,               0.003466,               0.003466
                    134,                 1.1616,                 0.6646,                0.95091,                0.69301,                0.39832,                0.44887,                0.24339,                 1.3372,                0.79361,                0.99947,              0.0034165,              0.0034165,              0.0034165
                    135,                  1.148,                0.65818,                0.94823,                0.64725,                0.41518,                0.44444,                0.24001,                 1.3374,                0.79175,                 1.0002,               0.003367,               0.003367,               0.003367
                    136,                 1.1448,                0.65408,                0.94596,                0.67991,                0.39945,                0.44703,                0.23825,                 1.3386,                0.79354,                  1.001,              0.0033175,              0.0033175,              0.0033175
                    137,                 1.1436,                0.65318,                0.94463,                0.67679,                 0.4052,                0.44677,                0.23817,                 1.3416,                0.79579,                 1.0031,               0.003268,               0.003268,               0.003268
                    138,                 1.1464,                0.65502,                0.94826,                0.63216,                0.42724,                0.44742,                0.23987,                 1.3396,                 0.7964,                 1.0031,              0.0032185,              0.0032185,              0.0032185
                    139,                 1.1482,                0.65378,                0.94649,                0.67802,                0.40278,                0.44509,                0.23939,                 1.3431,                0.79539,                 1.0031,               0.003169,               0.003169,               0.003169
                    140,                 1.1385,                0.65112,                0.94574,                0.64067,                0.42258,                0.44458,                0.24063,                 1.3387,                0.79306,                  1.002,              0.0031195,              0.0031195,              0.0031195
                    141,                 1.1348,                0.64561,                0.94039,                0.66534,                0.41132,                0.44547,                 0.2415,                 1.3367,                0.79259,                 1.0013,                0.00307,                0.00307,                0.00307
                    142,                 1.1352,                0.64747,                0.94397,                0.68836,                0.40409,                0.44404,                0.23996,                  1.338,                0.79374,                 1.0025,              0.0030205,              0.0030205,              0.0030205
                    143,                 1.1315,                0.64136,                0.94218,                0.68798,                0.40076,                0.44332,                0.23893,                 1.3398,                0.79353,                 1.0019,               0.002971,               0.002971,               0.002971
                    144,                 1.1303,                0.64583,                0.94387,                0.67296,                0.40978,                0.44062,                0.23747,                 1.3385,                0.79387,                  1.003,              0.0029215,              0.0029215,              0.0029215
                    145,                 1.1288,                0.64349,                0.94252,                0.66688,                0.40709,                0.44288,                0.23947,                 1.3388,                0.79422,                 1.0035,               0.002872,               0.002872,               0.002872
                    146,                 1.1351,                0.64321,                0.94409,                0.64366,                0.41646,                0.44197,                0.23787,                 1.3389,                0.79439,                 1.0027,              0.0028225,              0.0028225,              0.0028225
                    147,                 1.1212,                0.63855,                0.93931,                0.67504,                0.40039,                0.43879,                 0.2361,                 1.3395,                0.79326,                 1.0018,               0.002773,               0.002773,               0.002773
                    148,                 1.1304,                0.64146,                0.94231,                0.65124,                0.41626,                0.43483,                0.23655,                 1.3398,                0.79235,                 1.0017,              0.0027235,              0.0027235,              0.0027235
